sentence1,sentence2,score
A man sleeps with a baby in his lap.,A man asleep in a chair holding a baby.,0.8
Two cats are looking at a window.,A white cat looking out of a window.,0.52
A person wearing a helmet rides a bike near a white structure.,A girl wearing black shorts and boots is standing next to a blue motorcycle.,0.24
A man with a bicycle at a coffee house.,Man walking bicycle to patio of a coffee shop.,0.64
A black and white cat is high up on tree branches.,Black and white lamb with tag in right ear.,0.16
A young blonde girl wearing a helmet sits with a red bicycle behind her.,A young girl wearing a bike helmet with a bicycle in the background.,0.68
Blue couch and twin bed in a living room.,Blue couch in room with sun shining in.,0.4
The flock of sheep are spread out in the field.,A white cat stands on the floor.,0.0
Two dogs and one cat sitting on couch.,Two dogs and a cat resting on a couch.,0.92
A bicycle is parked by a shop.,A bicycle is parked outside a bookstore.,0.8
A orange and white cat laying on a blanket in a black leather chair.,A ginger and white cat curled up and asleep on a leather chair.,0.76
Young couple sitting on a black couch.,Young couple sitting on couch.,0.8
A group of black people in front of a building with a moped.,A group of people are outside a decrepit building.,0.56
Elderly woman sitting on red patterned couch with her arm around younger woman.,Two women sitting on couch posing for camera.,0.72
A man riding on the back of an orange SUV.,an African man hanging onto the back of a very full yellow van.,0.36
Red and white bus driving down road.,A bus drives down a busy road.,0.72
A cat laying on a red cushion looking at the camera.,A tan dog lying on a moggie bed looking up at the camera.,0.24
Two green and white trains sitting on the tracks.,Two green and white trains are sitting on the train track.,1.0
A grey cat lying on a wooden table.,A grey cat laying on a dining table.,0.8
A man sitting in a back yard playing the guitar.,A man riding on the back of an orange SUV.,0.0
A father napping in a chair with a baby on his lap.,Man with pink shirt sleeping on chair with infant.,0.68
a close up head of an ostrich.,A close up of an ostrich face.,0.88
Green and white bird perched on tree branch.,Bird with a green head and white chest perched on a tree branch.,0.84
A man in a top hat rides a white horse.,A man with a top hat riding a white horse.,1.0
A woman riding a brown horse.,A woman taking her own photo from above.,0.04
Two men standing in grass staring at a car.,A woman in a pink top posing with beer.,0.04
Two Indian women with two Indian girls near the water.,Two Indian woman stand with two Indian girls on a beach.,0.8
A table is set with wine and dishes for two people.,"A wooden table is set with candles, wine, and a purple plastic bowl.",0.52
A moped in front of ruins.,White bus parked in grass in front of building.,0.12
A person driving a cart pulled by a bicycle.,A man wearing a dust mask riding a three wheeled bicycle.,0.24
A dog sniffing the bottom of a door.,A black and white dog sniffing at a closed door.,0.76
a small bird sitting on a branch in winter.,A small bird perched on an icy branch.,0.84
A yellow bird is eating fruit on a wire grate.,A yellow bird eating fruit on a bird feeder.,0.56
A brown duck and white duck stand on the grass.,Brown and white ducks walking on green grass.,0.84
A black and white cat and dog on a striped couch.,A black and white cat standing in front of a window.,0.48
A man wearing black formal wear & a black top hat is riding a white show horse.,A man with a top hat riding a white horse.,0.72
A small brown birds is eating from a bird feeder hanging from a tree.,A small bird perches on the bird feeder hanging from the tree.,0.76
This a picture of the countryside with a large city in the background.,There are some black cattle in a grassy plain with a large tree in the background.,0.12
Blue and red plane in mid-air flight.,a blue and red airplane while in flight.,0.96
Three men posing in a tent.,Three men eating in a kitchen.,0.24
A close-up of a gray cat with green eyes.,A close-up of a cat on a cream sofa.,0.48
A train is at a train station.,The train sits at the train station.,0.84
The train heads down the tracks and along the hedge.,a dog on the floor of a patio looks at a cat on the fence.,0.0
a little girl is laughing at the camera.,A white cow with big ears looking into the camera.,0.04
Three young women standing in a room together.,"Three dark haired young women in white, red and black sweaters.",0.68
A white bird with long orange legs standing by a lake.,Large white bird with long orange beak standing on the shoreline.,0.6
A red train driving through a snow covered city.,The train is riding on the tracks in the snow.,0.64
Three bicyclists crossing a bridge in a city.,The bicyclists are crossing a bridge in the rain.,0.6
A red and white bus drives down an England street.,A red and white England bus drives down the street.,0.88
The birds are swimming in the water.,Birds fly low over water.,0.36
A black dog looking at the camera.,The black and white bull is looking at the camera.,0.4
A group of horses grazing in a field.,Group of horses grazing in grassy field.,0.96
Several people on motorcycles in a market square.,People on motorbikes in a city street.,0.8
Three sheep on a dirt road viewed from a passenger vehicle.,Three sheep on a dirt road shot from a car.,0.44
Group of people posing with two men dressed as Elvis.,A group of people standing with two other people dressed as Elvis.,0.84
Parrot pushing a small shopping cart.,A white bird is steering a shopping cart.,0.68
Man in yellow canoe paddling through water.,Man paddling a yellow canoe towards a the shore.,0.84
Beer bottles (-LRB- Harp Lager )-RRB- lined up on the floor.,A row of beer bottles on the floor.,0.68
Two women sitting outside laughing.,Two women standing outside of a bus.,0.48
A steam engine and train moving toward the camera.,A white sheep on a hillside looking at the camera.,0.2
A brown and white cow in a field looking into the camera.,The black and white cat is looking up at the camera.,0.32
Black and white cow standing near pile of snow.,a black and white cow standing in the field.,0.64
Home office space with bright green walls and artwork.,An office with multiple desks and green walls.,0.68
A black and white photo of a man driving a car and someone with a motorcycle.,A black and white photo of a man in a classic car and a man with a classic motorcycle.,0.8
Three people are by the water with yellow canoes.,Three people preparing to canoe.,0.6
A girl in a riding hat on a horse.,A girl riding a tan horse.,0.76
A man dressed in a pale scarf with a stick.,A runner is resting in the shade with a bottle of soda.,0.0
A very retro living room with a television in it.,A grey cat lying on a wooden table.,0.0
A girl in a riding hat on a horse.,A girl riding a brown horse.,0.52
A car is pulling off the side of the road onto the street.,A silver car parked on the side of the road in front of the hills.,0.52
The man is sitting cross legged wearing a cloak and holding a stick.,Man sitting cross legged while wearing a brown cloth and holding a wooden stick.,0.76
Two black and white dogs at the bottom of stairs.,A dog is lying at the bottom of a staircase next to another standing dog.,0.52
An old fashioned wooden sailing ship in the ocean.,An old fashioned wooden sailing ship is parked at the pier.,0.56
"A man sitting cross legged on the grass, with a tree in the background.",Ocean liner close to coast with houses in the background.,0.0
Two cats sitting on a couch looking out the window.,A cat looking out of a window.,0.52
Three goats are being rounded up by a dog.,Three goats are chased by a dog.,0.92
A tan puppy on a carpeted floor.,Tan puppy lying down on white carpeting.,0.76
A black dog standing in a grassy area.,A long-haired dog stands in a grassy wooded area.,0.68
Train in a station.,a train in a station.,1.0
A blue bird standing on a lawn.,Blue bird standing on green grass.,0.92
An empty office cubicle.,An empty office chair in a cubicle.,0.6
A man and woman sit at a table in a restaurant.,Four women and two men sit at a long table in a restaurant.,0.44
A young man wearing a striped shirt is holding two bicycles.,Young redheaded man holding two bicycles near beach.,0.76
"A television, upholstered chair, and coffee stable in a bright room.",A leather couch and wooden table in a living room.,0.44
Two cats sitting on a couch looking out the window.,Two cats are looking at a window.,0.72
The small dog is wearing a sweater and looking up at the camera.,A small white dog wearing a jacket looks up at the camera.,0.8
Two men standing in grass staring at a car.,Two women sitting in chairs in a shop.,0.08
A woman stands in front of a building in the snow.,Two women and a baby pose in front of a dining room.,0.0
Home office space with bright green walls and artwork.,Small office space with bright green walls.,0.76
A green car parked at a saloon.,A green car parked outside the saloon.,1.0
Group of people sitting around a restaurant dining table.,A group of people sitting at a restaurant table.,0.96
Two ducks are standing by the water.,The birds are swimming in the water.,0.48
A black and white cow in a pen with hay.,Black and white cows behind a fence.,0.56
A man and woman are posing for the camera.,A cat sitting on sand looking up at the camera.,0.28
A green and white cargo plane taking of from an airport.,White and green commercial airliner taking off of runway.,0.72
A yellow school bus parked in a field.,A brown horse in a green field.,0.0
An elderly man works on his laptop at home.,Older gentleman sitting on couch with laptop.,0.84
The cat is sitting on a bag of cat food.,Two eagles sitting on a long branch.,0.08
A large pile of wooden items piled high.,A large pile of scrap wood.,0.76
A woman riding a brown horse.,A girl riding a brown horse.,0.8
Black and white photo of a girl on a sofa.,a black and white photo of a cow under a tree.,0.24
A black dog stands next to materials at a construction site.,A black dog stands in the middle of a construction site.,0.8
Two women sitting in chairs in a shop.,Two women are sitting in a cafe.,0.6
A women painting a chair with a dining room in the background.,A man and boy walking along a beach with the sea in the background.,0.0
A cat sleeping on the coach with a pillow behind it.,The cat is laying on an animal print blanket.,0.48
Two motorbikes racing on a dirt course.,two motorbikes on a dirt track.,0.68
A young woman is riding a Bay hose in a dirt riding-ring.,A man is staring at a horse with a white mane.,0.16
A gray cat laying on a brown table.,A grey cat lying on a wooden table.,0.84
Motorcycle parked next to a car outside.,A motorcycle parked next to a car.,0.88
A pile of used wooden building materials with a chair on top.,Pile of wooden debris with chair on top.,0.8
A passenger train waiting at the city train station.,A passenger train with a yellow engine.,0.36
A black train moves down the tracks.,A long train is on train tracks.,0.56
A Philips flat-screen TV is shown with its two remote controls.,A Phillips flat screen TV with two remote controls.,1.0
A cruise ship is in front of a docking area.,Calico cat sitting on step in front of a door.,0.0
A black and white cow standing in hay looks back at the camera.,There is a black and white sheep standing on the grass.,0.04
Four people rowing down a river.,Four people row a canoe in water.,0.8
A dark brown horse standing in a field.,A brown horse in a green field.,0.76
Two men talking in front of a plane.,Two men talking in front of a small plane.,0.88
"two cats, one brown and one white laying on a bed with a blue blanket.","Two cats, one ginger, the other white laying on a bed.",0.64
The train sits at the train station.,A train parked at a train station.,0.92
Two animals sitting on a rock.,The brown train is sitting on the railroad tracks.,0.0
A black and white cow looking through the fence.,A black and white dog looking at the camera.,0.2
Two women in a clothing store.,Two women in a sailboat.,0.16
Older gentleman looking at red motorcycle.,A man looking at a red motorcycle.,0.8
Black and white cows grazing in a pen.,Two black and white cows drinking out of a pond.,0.32
A small camouflaged airplane parked in the grass.,A small dog wearing a pink shirt tied to a railing.,0.0
A black and white photo of a love seat.,Black and white photo of couch with purse at one end.,0.68
Black bird standing on concrete.,Blue bird standing on green grass.,0.2
Crowd of people walking past a giant mushroom.,A group of four people walking past a giant mushroom.,0.8
A sheep beside a road and a lake.,A sheep is on the edge of a road with a lake and a mountain in the background.,0.6
A group of people sit at a table in an Italian restaurant.,A group of six people sitting at a table with salad served.,0.6
Tan cows look closely at the camera.,A white and grey cat in a bathroom sink looking at the camera.,0.15
Older woman holding newborn baby.,a woman sitting on a sofa holding a baby.,0.68
Two dogs play in the grass.,Two dogs playing in the snow.,0.56
Three people sit at a picnic table outside of a building painted like a union jack.,Three people sit at an outdoor table in front of a building painted like the Union Jack.,0.96
A dog swims through the water.,A dog wearing a cape is running through the snow.,0.28
A young laughing girl and a boy are playing on a big drum.,A baby girl and little boy are standing next to a guitar and a drum.,0.48
The brown dog runs on the snow with a white ball in his mouth.,Four dogs play in the snow with the city skyline behind them.,0.36
A bird flies across the water.,A bird flies above the water.,0.96
A dog is running through a pond,A pale dog is running along a dirt path.,0.28
A man and a woman watch two dogs.,A man in a maroon bathing suit swings on a rope on a lake.,0.08
A man sits by a dock looking at the water.,A man jumps off a rock into the water,0.27
A brown and white dog is running through the snow.,a brown and white dog is running on the grass.,0.48
A man and a woman are standing in front of a building,Two girls are sitting on an ATV on the sand in front of a bridge.,0.08
Three dolphins are jumping out of a pool in front of a crowd of people.,A man is giving a presentation in front of a lot of people.,0.12
The dog is running through a field.,A dog runs through a field.,0.96
A black and white dog is jumping into the water.,a white dog runs across the water.,0.56
A tan and white dog retrieving a ball on a gravel path.,A large dog walks along a gravel path in the woods.,0.4
A brown and white dog is walking up snowy steps.,A black and white dog frolics in the snow.,0.52
A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.,The man in a blue jacket is standing in a crowd.,0.0
A dog running across the snow with a snowball in it's mouth.,A tan dog is running through the grass with a yellow toy in its mouth.,0.48
A small boy is building with some wooden blocks.,A small boy wearing a blue shirt stacks wooden blocks.,0.8
A man and a woman walk with a white dog on a leash.,"A man, woman and dog walk down a paved road.",0.8
A young boy wearing a red winter coat is eating and holding up a candy bar.,A young boy wearing a red coat eats a chocolate bar.,0.8
Two racing dogs run in the mud.,The man is going into the water.,0.0
"A young boy jumping into a pool that says ""no diving"".",A boy jumps into a pool while lifeguards watch.,0.64
Three dogs running in the dirt.,The yellow dog is running on the dirt road.,0.28
Four children on stools in a diner.,Four children sit on tall bar stools at a yellow and grey bar.,0.72
Boy and white dog running in grassy field,A boy and a dog running on grass,0.88
Two boys playing a game of flag football.,Two boys are playing flag football.,1.0
The black and white dog has its mouth wide open.,A black and white dog jumps in the snow.,0.36
One white boy and one black boy stand with arms around each other.,"Two young boys, one white and one black, are standing with their arms around each other.",0.96
Girl playing in a puddle with her bare feet.,A child is playing with two white and black geese.,0.12
Two children splashing in the water.,Two dolphins jumping into the water.,0.28
A man in a suit dances with a young girl in front of an audience.,A women dangles from a blue fabric connected to a tree.,0.04
Three children playing on a floor with toys.,Three children sitting in floor playing with several toys.,0.84
The two dogs are playing in the yard.,Two dogs are playing on the grass.,0.92
The # 2 greyhound dog is running around a track.,a muzzled greyhound dog is running around a track,0.8
four children are playing on a trampoline.,Four kids are jumping on a trampoline.,0.92
A black and tan dog standing in a field near trees,A white dog is standing by a river shaking himself dry.,0.36
A black dog running into the water.,A black dog running through water.,0.92
a man and woman walking past a record shop,A man and woman kissing in front of a crowd of people.,0.04
Two dogs play in the grass.,Two tan dogs play in the snow.,0.52
Three children wrestle on a floral carpet.,Three children playing on the floor.,0.76
A boy in red jumping into a sandbox.,A dog swimming in a pond,0.0
a dog jumps into the water.,A dog is jumping into the water.,1.0
